rank_by_RMSE_test,target,hyper_split,model,descriptor,descriptor_family,n,RMSE_test_mean,RMSE_test_std,RMSE_test_min,RMSE_test_max,MAE_test_mean,MAE_test_std,R2_test_mean,R2_test_std,Spearmanr_test_mean,Spearmanr_test_std,RMSE_train_mean,RMSE_gap_mean,RMSE_gap_std,R2_gap_mean,R2_gap_std
17,ddg,seed_1_test_0-2,lgb,rdkit,rdkit,9,0.41580909355931894,0.0948848903242021,0.2817544056693142,0.5952520394725838,0.2766722305916512,0.04096740659444902,0.7668531583723932,0.11728879060942198,0.8373575362271615,0.06729386932644654,0.2619223257245494,0.15388676783476957,0.12271445996979952,0.1532758236299727,0.13286038874394884
18,ddg,seed_1_test_0-2,lgb,rdkit_xtb,rdkit+xtb,9,0.41639026217288305,0.09759436941834217,0.2689033718020993,0.5789336071573122,0.27318047659979217,0.043706945493355444,0.766020178240807,0.11358546689827612,0.8394628255039491,0.06024991070375647,0.25530282627585454,0.16108743589702854,0.1262481420650984,0.15782750980708818,0.12954188852190296
19,ddg,seed_1_test_0-2,lgb,soap_xtb_acsf,xtb+geometry,9,0.4164603608852954,0.10988458761533895,0.2424469601399155,0.5986797214238674,0.28027313200994936,0.04708005871524773,0.7625032866746689,0.1294277098172168,0.8207978278302699,0.08166314145996065,0.2527901143430469,0.16367024654224854,0.13573602573220733,0.1631878552165138,0.14464213679001428
20,ddg,seed_1_test_0-2,lgb,rdkit_soap_xtb_acsf,all,9,0.4180717334546903,0.10578101808598715,0.2701558723317903,0.6004306045608255,0.27844857998287575,0.049160413626161525,0.7617470872825949,0.12897897739200043,0.8282352609935046,0.07596243953238263,0.24977141699172872,0.16830031646296156,0.13321176268296675,0.16564878325762203,0.14438600396328174
21,ddg,seed_1_test_0-2,lgb,rdkit_soap,rdkit+geometry,9,0.42964884327015745,0.08990489602069211,0.2932136563764382,0.5968744682495941,0.291228841616666,0.04339517688845698,0.7526174240680441,0.11471977917325162,0.8285372376636247,0.06756208910637256,0.26829424877723224,0.16135459449292522,0.12455021879893403,0.16311020155391726,0.13452085716566195
22,ddg,seed_1_test_0-2,lgb,rdkit_xtb_acsf,all,9,0.4301243501619994,0.09998521089144694,0.2940573655546803,0.6048395068252731,0.2937973661588804,0.04368037938809824,0.7499987655715611,0.12511041457911026,0.8218440147564512,0.07485102665903665,0.2731641049877142,0.15696024517428528,0.13497118612432912,0.1626600483385096,0.14562400983885343
23,ddg,seed_1_test_0-2,lgb,soap_xtb,xtb+geometry,9,0.4316663395199674,0.12188453290517925,0.2465153593038044,0.6316008597192307,0.28995923198588774,0.058188235231889054,0.7426521538829193,0.14989502135246655,0.8141452264374673,0.08802532698744403,0.26537308065516446,0.16629325886480295,0.14642092743657326,0.17563951850921525,0.16523292102276735
24,ddg,seed_1_test_0-2,xgb,acsf,geometry,9,0.43488122779798555,0.10669743285858538,0.3008045362137364,0.6314359672296996,0.28251040513237063,0.044362517791401136,0.7432899925256277,0.13808070386346896,0.8093919612049589,0.08087612527418199,0.23441907515381752,0.20046215264416803,0.1320987074459554,0.19272927677782048,0.15122424631369494
25,ddg,seed_1_test_0-2,lgb,xtb,xtb,9,0.44295824466091155,0.09085514135460764,0.3132888692168773,0.6058123787647894,0.30927572120595276,0.04520838082848328,0.738456876950242,0.11766652412638165,0.8005025568118223,0.07002875579740711,0.2877651123686631,0.15519313229224846,0.11422747775230377,0.1656692240160325,0.1324439946285654
26,ddg,seed_1_test_0-2,lgb,acsf_xtb,xtb+geometry,9,0.4512924327082173,0.09860827411576069,0.281715314212826,0.6156264918502663,0.3183976537425408,0.0480001772502503,0.726737773582815,0.12365396984800946,0.7976274376020132,0.07087713869088182,0.27745541904872,0.17383701365949727,0.12170900453920253,0.18343386736052267,0.13724043167941366
27,ddg,seed_1_test_0-2,lgb,soap_acsf,geometry,9,0.45482208540299535,0.11870439694850661,0.2749605820538393,0.6595430763250887,0.3126901044477127,0.06303484216912705,0.716559280350274,0.15408643497665764,0.796557777479137,0.08870237478821547,0.2889553527028237,0.16586673270017166,0.13932601618359475,0.18685769104410743,0.16790027710382296
28,ddg,seed_1_test_0-2,lgb,acsf,geometry,9,0.47833128250505713,0.08135066264318566,0.3392041671497818,0.6185836651508476,0.32711995031302954,0.042626679569778274,0.6982464090018815,0.11371238855917207,0.7734097081150505,0.06404590705965116,0.28913734195283086,0.18919394055222633,0.1052117259201381,0.20466124803374694,0.12866574099164851
29,ddg,seed_1_test_0-2,rf,soap_xtb,xtb+geometry,9,0.484189240634195,0.07817268597867932,0.3809098614455908,0.6306680532508481,0.3413665168170817,0.04438179974639034,0.6930012250582117,0.11361947436210683,0.7949790290248415,0.08176461692402977,0.347373891960268,0.13681534867392695,0.09378244609037961,0.16781140802364367,0.1264831102329127
30,ddg,seed_1_test_0-2,rf,rdkit_soap_acsf,rdkit+geometry,9,0.48665933795338084,0.08402534199113762,0.3817411103656171,0.6455797080292751,0.3441912177268675,0.051928987130472566,0.6892207600650219,0.12318470908042284,0.7979310772907331,0.08724609167913103,0.34322060301022295,0.14343873494315795,0.09440949550985628,0.1751540140092644,0.13230023553920467
31,ddg,seed_1_test_0-2,rf,rdkit_acsf,rdkit+geometry,9,0.48685364079195775,0.08499682666731789,0.382230217885821,0.6491211687980999,0.34520687261966476,0.0537261779833169,0.6882284238183102,0.12634014366663868,0.7967040852940948,0.08834619136580887,0.3484847473144758,0.13836889347748194,0.09590243793333798,0.17197313391263372,0.1354452685256435
32,ddg,seed_1_test_0-2,rf,soap_xtb_acsf,xtb+geometry,9,0.48867096678389377,0.07578712069198262,0.3975349679847873,0.6354837528494276,0.3454800722520585,0.04269824929034038,0.6882954410571694,0.11211750271775751,0.7934429876300103,0.07977223543674637,0.34891066687210887,0.13976029991178493,0.09062321951184446,0.17136095533323623,0.12407207867518551
33,ddg,seed_1_test_0-2,rf,rdkit_soap_xtb,all,9,0.4889795892014423,0.0803422541588913,0.3733654597237837,0.632343031771475,0.3448603641871404,0.04922104822851676,0.6865909232002443,0.11690081526607006,0.7956436838458154,0.08077324235690012,0.3463791342727877,0.14260045492865459,0.09307433996987471,0.17514877896544484,0.12758997188182006
34,ddg,seed_1_test_0-2,rf,rdkit_soap,rdkit+geometry,9,0.4906791631152891,0.08313399976907626,0.3834494911333022,0.6410264862225403,0.34823574665313595,0.051829117299740476,0.6840968464068748,0.12119014102244513,0.79581937168649,0.08703942341418562,0.34637084469652546,0.14430831841876365,0.09882233364574333,0.1774882694245035,0.1342204130159569
35,ddg,seed_1_test_0-2,rf,rdkit_soap_xtb_acsf,all,9,0.49099655401890796,0.07865930476276595,0.376696861445909,0.6319805174430889,0.348724663218444,0.0468098795114485,0.684424269715715,0.11561514523352359,0.7908276440577214,0.08345793377654286,0.34657903722396893,0.144417516794939,0.0918740818066811,0.17710504962806592,0.12691773897780076
36,ddg,seed_1_test_0-2,rf,rdkit_xtb_acsf,all,9,0.4934745396982063,0.07818472119607583,0.3839209166104771,0.6331393488360061,0.3515838300066732,0.04521088740666544,0.6815019895102759,0.11623206182048083,0.7920010305520756,0.08300632936785378,0.3540902002307398,0.13938433946746648,0.09185532833181102,0.1740457251337458,0.1276034166041462
37,ddg,seed_1_test_0-2,rf,rdkit_xtb,rdkit+xtb,9,0.4948958643253213,0.08991227857813364,0.3837135263613639,0.6511921383078503,0.35377206588073284,0.05340896275529339,0.6768357287503083,0.13324013281143193,0.7852982845829168,0.08283344775136822,0.3673567587749569,0.12753910555036435,0.09619179319911245,0.16794140087226625,0.13970037175353223
38,ddg,seed_1_test_0-2,rf,rdkit,rdkit,9,0.503035123187272,0.07652002813726903,0.4221143990745632,0.6477121193932728,0.36010568139595406,0.03885743846824305,0.6705390233196958,0.1163494213598804,0.7861867785008,0.081263890556359,0.36166304033854074,0.14137208284873123,0.09734468573287798,0.1786062259185782,0.13399228271171074
39,ddg,seed_1_test_0-2,rf,soap_acsf,geometry,9,0.5094876880732272,0.07574513850872436,0.3985896978898636,0.6475469804782648,0.3547105661099266,0.04446012934233653,0.6636040391307039,0.11202214199560806,0.7885368296099198,0.08919844104777647,0.3608401584753247,0.14864752959790253,0.08497012726761644,0.1865284452250897,0.12037894328288377
40,ddg,seed_1_test_0-2,rf,acsf_xtb,xtb+geometry,9,0.5235973504088371,0.06207316881209002,0.4419764619730024,0.6436973385263954,0.37832921741527986,0.03632391946445289,0.645619282570332,0.10371110868035428,0.7536345696767411,0.08038378701336339,0.36720591008214365,0.15639144032669341,0.07783031338809795,0.19899645200763572,0.11603886029859174
41,ddg,seed_1_test_0-2,rf,xtb,xtb,9,0.5485850328669742,0.08081506911040419,0.4373432288220818,0.6543251335653358,0.3929963201338704,0.049856926519015174,0.608052710464674,0.12505676888128983,0.714553405557403,0.0943044755631979,0.4030497508863259,0.14553528198064836,0.07871956915526836,0.20546965774508644,0.12395522731005078
42,ddg,seed_1_test_0-2,rf,acsf,geometry,9,0.565468958490183,0.06202858270404704,0.4438450211445978,0.6616507561765224,0.3961406007939829,0.03693591047575025,0.5869444695374384,0.11216630090199836,0.7028374192857106,0.08897915297498586,0.4022660375995357,0.1632029208906472,0.07097271061214902,0.22651181709246002,0.11638749819778862
43,ddg,seed_1_test_0-2,xgb,soap,geometry,9,0.7350647949653976,0.030143760312724133,0.6889983486177899,0.7759952663228744,0.5417682046064959,0.023164963405588997,0.3143690180982211,0.09569204883324837,0.5155305526229317,0.10717624172785013,0.6714769125095008,0.0635878824558968,0.04054871971626535,0.1677348342393642,0.11501375527205353
44,ddg,seed_1_test_0-2,lgb,soap,geometry,9,0.7419345527759479,0.035565522062467554,0.6904175981882432,0.7913139004814903,0.5622648735003717,0.024239147976866608,0.3018449139943794,0.09764519497839323,0.5149010978217923,0.08696508830138783,0.6958761982911292,0.04605835448481867,0.04316418498380038,0.14203004094028454,0.11436142207827218
45,ddg,seed_1_test_0-2,rf,soap,geometry,9,0.743012785424841,0.030913051318999515,0.7012569975312416,0.8082227934519011,0.5342130303901617,0.017688564206714774,0.3007927218634699,0.0859045575422305,0.4925174067026762,0.10093207758920243,0.6924417251258306,0.050571060299010324,0.03553176625250306,0.14865737243416352,0.0953022061761778
