rank_by_RMSE_test,target,hyper_split,search_method,model,descriptor,descriptor_family,n,RMSE_test_mean,RMSE_test_std,RMSE_test_min,RMSE_test_max,MAE_test_mean,MAE_test_std,R2_test_mean,R2_test_std,Spearmanr_test_mean,Spearmanr_test_std,RMSE_train_mean,RMSE_gap_mean,RMSE_gap_std,R2_gap_mean,R2_gap_std
11,ddg,seed_1_test_0-2,optuna,xgb,acsf_xtb,xtb+geometry,9,0.323015638672356,0.12037216820653508,0.1681513741499117,0.5464630686326523,0.19856553487940082,0.04954477930773196,0.849052146398832,0.11873489018413315,0.8815627957504739,0.06764635454008269,0.07481112970354546,0.24820450896881058,0.12473956119540058,0.14447795679442907,0.11952815848463086
12,ddg,seed_1_test_0-2,optuna,xgb,rdkit_soap_acsf,rdkit+geometry,9,0.3235783949149059,0.10611032569033563,0.1885682345918397,0.5115231250437696,0.1943206394574569,0.0448084903130313,0.852789070660894,0.10194433094712221,0.8804435790254064,0.06800864739157156,0.08874115382089444,0.23483724109401147,0.1076665691578531,0.13810930241864725,0.10227750770200027
13,ddg,seed_1_test_0-2,optuna,lgb,soap_xtb_acsf,xtb+geometry,9,0.32512050973963785,0.11050037870101888,0.17118764975582,0.5361428769236977,0.20133815160344348,0.0461005176776972,0.849975332771421,0.10866782460543759,0.8759622878388034,0.06148034622337925,0.07545782628515574,0.24966268345448211,0.11701611636758649,0.14341749405693782,0.1097755523727585
14,ddg,seed_1_test_0-2,optuna,xgb,soap_acsf,geometry,9,0.3258013926150378,0.13193593642562854,0.1861062732494423,0.5821245690196433,0.1931853103277756,0.054817722784113156,0.8431014910337912,0.13954301280732725,0.8724198545404667,0.07501758795130542,0.047635148679968514,0.27816624393506933,0.13370401846683236,0.15428822375318327,0.1397469747198478
15,ddg,seed_1_test_0-2,optuna,xgb,rdkit_xtb,rdkit+xtb,9,0.3265099627891419,0.10137071557202781,0.2217161677531141,0.517588551531791,0.20391071191331386,0.041454800723610484,0.8522231419765794,0.09953895523787737,0.8827825961178001,0.055908899871582415,0.07300955318769883,0.25350040960144304,0.10838291145638934,0.1415693124566588,0.10067496515706784
16,ddg,seed_1_test_0-2,optuna,lgb,soap_xtb,xtb+geometry,9,0.3268532908853951,0.11763341653528804,0.1692257208777312,0.5400739931130507,0.19982154208043432,0.04596170138517271,0.8465847225152136,0.11466385668820696,0.8769354887718184,0.06476603436311275,0.09458845838540252,0.2322648324999926,0.12219702274144718,0.14308960672907853,0.11577831194818233
17,ddg,seed_1_test_0-2,optuna,lgb,rdkit_xtb_acsf,all,9,0.3286379465060431,0.10660484982036142,0.2029526528875346,0.5298651864601065,0.2092125038513808,0.038588583684012016,0.8485862110493495,0.10651540833898629,0.87848125453396,0.06042398039645474,0.09733582642727011,0.231302120078773,0.11430832608669622,0.14039748634444488,0.10823606331656682
18,ddg,seed_1_test_0-2,optuna,lgb,rdkit_xtb,rdkit+xtb,9,0.3292829276834103,0.1059811418212629,0.2087186958621735,0.5219128443533404,0.2109690628132674,0.04440625164639302,0.8480314239227932,0.10411683641397239,0.8744270846908567,0.07045180839300706,0.11922401875649598,0.21005890892691426,0.11429235760693565,0.13555207772909336,0.10633881786557846
19,ddg,seed_1_test_0-2,optuna,xgb,rdkit_acsf,rdkit+geometry,9,0.32946822681309396,0.12624769421671378,0.2075322798160986,0.5509727892990283,0.19595369835657347,0.045559781814201075,0.8426310582478753,0.13123321715000072,0.8834396919626446,0.08007500541497257,0.08601128833666358,0.24345693847643035,0.1294950933212154,0.14884301351770113,0.13189206658105065
20,ddg,seed_1_test_0-2,optuna,rf,soap_xtb,xtb+geometry,9,0.32949915958961135,0.1187380048995499,0.2250349066925355,0.5794473265687166,0.19744395005466897,0.045950478156099636,0.844331490651951,0.12824589237970677,0.8758844163887658,0.07271705811384252,0.13698714602136672,0.19251201356824468,0.12309813821470848,0.13404904621179117,0.12963434885822733
21,ddg,seed_1_test_0-2,optuna,lgb,acsf_xtb,xtb+geometry,9,0.33130999199527006,0.10873922302631732,0.2020090176892887,0.5441869116154977,0.20945925256434283,0.045673937196497184,0.8457193113560882,0.11120814253043726,0.8785195375354838,0.06971688267718884,0.06589919589756137,0.2654107960977087,0.11450096859395974,0.1492406192489728,0.11206300163169985
22,ddg,seed_1_test_0-2,optuna,xgb,soap_xtb_acsf,xtb+geometry,9,0.33394606883854067,0.11206185612222556,0.1635760640543717,0.5416197009799518,0.20805256022855312,0.04865652126667447,0.8418096362644291,0.10899681743383402,0.8717557766851294,0.06239759943283717,0.11049522831833412,0.22345084052020658,0.11927034721871299,0.14406555503997703,0.11089020538296077
23,ddg,seed_1_test_0-2,optuna,xgb,xtb,xtb,9,0.33488539414631696,0.10023058705892392,0.2120231962174673,0.5319747198307541,0.2174228158720258,0.04402070489593628,0.8444764314329866,0.10203416078637742,0.8712197120697952,0.060433123004873295,0.11124646578377081,0.22363892836254617,0.10679145736694914,0.14123636711045545,0.10375692911392469
24,ddg,seed_1_test_0-2,optuna,lgb,soap_acsf,geometry,9,0.3349403796628431,0.10758144756642629,0.1885683431452546,0.5440603527729323,0.2036608548257952,0.043075347929052814,0.8426163634072931,0.10931622029860383,0.8708072261761379,0.062088496533504005,0.0794996997690902,0.2554406798937529,0.11531300251176106,0.15004470270927597,0.11071123341550777
25,ddg,seed_1_test_0-2,optuna,rf,soap_xtb_acsf,xtb+geometry,9,0.3350284312363071,0.11529797301365183,0.2502265404930434,0.5848259716634968,0.20118741912402544,0.05021072786365705,0.8418706180598927,0.1269738316894505,0.8825366652802765,0.0766881975787782,0.15231455577782588,0.18271387545848122,0.12119641476531336,0.1313378221175588,0.12914748937904333
26,ddg,seed_1_test_0-2,optuna,lgb,rdkit_soap,rdkit+geometry,9,0.33648081375027655,0.11986302257301537,0.1838720019786593,0.5596859169467898,0.20707929295887573,0.04982577650040237,0.8377528554348156,0.12391317445160609,0.8685140354850155,0.07541296321293502,0.1053395230331316,0.23114129071714495,0.1268169241562431,0.14943355380940793,0.1256067325105637
27,ddg,seed_1_test_0-2,optuna,lgb,rdkit_soap_acsf,rdkit+geometry,9,0.33702681150583136,0.11707842856777748,0.1817535288096036,0.5359051563046043,0.20690960721302387,0.04713434919100861,0.8388790663804673,0.11653610091111472,0.8671497588751433,0.06753625412338521,0.0823250455826477,0.25470176592318367,0.12334244345480859,0.15322778660431025,0.11770878321092784
28,ddg,seed_1_test_0-2,optuna,lgb,rdkit_soap_xtb,all,9,0.3410486022503323,0.10531525724720786,0.2148151615611964,0.5391319873683321,0.21620089107604784,0.040848891317939826,0.8382179027416691,0.10855627905059634,0.8671889766423064,0.06393953966245784,0.10641832936985872,0.2346302728804735,0.1137561520863274,0.148641970413379,0.1105729635737032
29,ddg,seed_1_test_0-2,optuna,lgb,rdkit_acsf,rdkit+geometry,9,0.3569472944400605,0.14172483130781152,0.1699441311065249,0.62408082482285,0.2257608346902729,0.06394104249145967,0.8120229927451094,0.15559094437231433,0.8519031642457576,0.09038282391041051,0.14970232297388228,0.20724497146617823,0.15272844461457247,0.16204951372335888,0.15938187858130876
30,ddg,seed_1_test_0-2,optuna,rf,xtb,xtb,9,0.35698839014429884,0.08743729005589224,0.2615002531840923,0.5118234308140465,0.21068156479212116,0.029001444307023724,0.830238910271804,0.08811547419128675,0.8815404420434336,0.05908478287515915,0.101583409409636,0.2554049807346629,0.09111278983966616,0.15785056365168035,0.08914998942913553
31,ddg,seed_1_test_0-2,optuna,rf,rdkit_xtb_acsf,all,9,0.3573626873183906,0.08949775287457769,0.267816867153569,0.4991402693372673,0.2332587687035971,0.04129743719909319,0.8284819482039405,0.09056930374526599,0.8679003727143474,0.06306652401870484,0.14191304609669808,0.21544964122169252,0.09547765293961602,0.14825563906726816,0.09273221111941783
32,ddg,seed_1_test_0-2,optuna,rf,rdkit_soap_xtb_acsf,all,9,0.35851371362888257,0.08793523223422882,0.2553219520153059,0.5011252941735622,0.23417868094802008,0.041911125944038966,0.827337989642952,0.0896235581629617,0.8632249813071607,0.06024392741398171,0.14252056826767456,0.215993145361208,0.09520452978535314,0.1492023049392147,0.0921732601756837
33,ddg,seed_1_test_0-2,optuna,rf,rdkit_soap_acsf,rdkit+geometry,9,0.36074474274706436,0.09142102304960957,0.247079745138313,0.5137990723835913,0.2359002667503732,0.042604578238174456,0.8240015808235908,0.0946079605594602,0.8624085249589214,0.06129929714312422,0.14218062162290812,0.2185641211241562,0.0984738324182886,0.1526372588891935,0.09709564869624406
34,ddg,seed_1_test_0-2,optuna,rf,rdkit_soap_xtb,all,9,0.3618373633266701,0.0877748607194235,0.2624433831149035,0.5040248256108623,0.23552668946617322,0.04261972115108008,0.8243195690893788,0.08892064824196322,0.8639599718067412,0.0554743962101008,0.14454305022584257,0.2172943131008275,0.09194244124852233,0.15155846519353453,0.0904916107016925
35,ddg,seed_1_test_0-2,optuna,rf,rdkit_xtb,rdkit+xtb,9,0.3623708077825871,0.0905201360689567,0.2506103485956579,0.5103491296150001,0.24156075528402562,0.04387053863369383,0.8230575990328753,0.09143318926178667,0.8652417297689681,0.06032587782848886,0.1537028291220967,0.20866797866049047,0.09539410938948979,0.14965064640206788,0.09340055140840206
36,ddg,seed_1_test_0-2,optuna,rf,rdkit,rdkit,9,0.3627772450378409,0.0935413977646265,0.2421682885903983,0.5318357152402341,0.20926627264435074,0.03979896962967464,0.8204844023303383,0.10180870552143068,0.8658573011717448,0.05747367986892433,0.17670008730911288,0.18607715772872802,0.12089836789475761,0.1426973418762269,0.11176923680809406
37,ddg,seed_1_test_0-2,optuna,lgb,xtb,xtb,9,0.3672849758378755,0.09769539465726035,0.2287993437329996,0.5476203800129428,0.25095977207918696,0.051956404814119055,0.8159665334892202,0.10376116361864861,0.8540099445157641,0.05955447443941053,0.16464889160300228,0.20263608423487323,0.10703553467114962,0.15271964999363977,0.10731368254899837
38,ddg,seed_1_test_0-2,optuna,rf,acsf,geometry,9,0.3741127177157908,0.06611505177665608,0.2608640248042799,0.4695800718487818,0.22866905718834976,0.034078102976765175,0.8208619680467542,0.058539354815475786,0.8733100580690603,0.049127735426845454,0.16431620511704959,0.20979651259874119,0.07634704940355162,0.14636319042623913,0.06340829300370446
39,ddg,seed_1_test_0-2,optuna,xgb,rdkit,rdkit,9,0.3777643512945584,0.11274441091969913,0.2283530583224911,0.5827178291672839,0.2325494735364838,0.04573492662026028,0.8008544999181092,0.12770866440905473,0.8445031039391404,0.08171376402895505,0.1881655147465801,0.18959883654797827,0.13673371365182282,0.15774016804076904,0.13753304758322513
40,ddg,seed_1_test_0-2,optuna,xgb,acsf,geometry,9,0.37894711118304225,0.10637755391371179,0.226265218663575,0.5887692348311524,0.2375544764504445,0.043380327572598736,0.8023003612549284,0.12089738910335013,0.8420795533187093,0.06697263734588499,0.12066684712290963,0.25828026406013266,0.11330943687241951,0.1808847361383532,0.12286530554640437
41,ddg,seed_1_test_0-2,optuna,lgb,rdkit,rdkit,9,0.3806632081217481,0.11250871356829038,0.2281899561746846,0.5838478235625005,0.22305807745008716,0.04578057699609363,0.7980101145273817,0.12841352988823887,0.8428129335127248,0.07833139392800013,0.1570416202324084,0.2236215878893397,0.14161802636727971,0.17262944686641013,0.13797288362472393
42,ddg,seed_1_test_0-2,optuna,lgb,acsf,geometry,9,0.38670127822950295,0.10483414805825139,0.2363031209332114,0.5925254789003728,0.2443921328088013,0.04141969007822016,0.7951419712015922,0.1214277589992678,0.8354789403622019,0.06412879491156429,0.11916447625913344,0.2675368019703695,0.1121129101146607,0.18844875972439454,0.12345507040826224
43,ddg,seed_1_test_0-2,optuna,xgb,soap,geometry,9,0.7410818820740848,0.04522564671260237,0.6727988421824573,0.8065285858853961,0.5600181635311603,0.02778838246687805,0.2994723902403675,0.1303748344847938,0.5035214938445683,0.10113394590318965,0.6662487221615248,0.07483315991255997,0.05682636995616659,0.19059977903413716,0.15210060146997714
44,ddg,seed_1_test_0-2,optuna,lgb,soap,geometry,9,0.742909159214711,0.04433124257283297,0.6773741681855738,0.8057995377465121,0.5618069986422334,0.028162512605478977,0.29560753237170895,0.13310010930882515,0.5050875407413623,0.10249957411437312,0.6687731725739953,0.07413598664071579,0.05623250423965626,0.1905854107506061,0.15528342860749333
45,ddg,seed_1_test_0-2,optuna,rf,soap,geometry,9,0.7546704621240014,0.03329799881943881,0.7067364719902327,0.8144924410946733,0.5328467432780006,0.020547757971422272,0.27939071078691535,0.08302947024939938,0.45973084275962367,0.10789180096957136,0.7038733348993775,0.05079712722462383,0.035579766718571625,0.15181531049380947,0.08701690698080644
