primary_rank,target,hyper_split,search_method,split,seed,test_size,model,descriptor,descriptor_family,RMSE_test,MAE_test,R2_test,Spearmanr_test,RMSE_train,RMSE_gap
16,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_acsf,rdkit+geometry,0.2554501863623295,0.1699015573300346,0.921575499399422,0.9387468573480916,0.1398983294553393,0.11555185690699021
17,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,soap_xtb_acsf,xtb+geometry,0.2565067981985178,0.1638102095257293,0.9209253872865568,0.911037102338895,0.1143664991314779,0.1421402990670399
18,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,acsf_xtb,xtb+geometry,0.2568933320615599,0.1829304913657569,0.920686890333096,0.9258170894961965,0.1420370948983956,0.11485623716316429
19,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_acsf,rdkit+geometry,0.2577097513739277,0.1722937671722832,0.920181967549675,0.9407712149410652,0.0849814407300355,0.1727283106438922
20,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_soap,rdkit+geometry,0.2577499795974062,0.1611307192578414,0.920157046581478,0.9159129743907882,0.1298061925434838,0.1279437870539224
21,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_xtb_acsf,all,0.2592378469662221,0.1926706308266843,0.9192325956801672,0.916936036830248,0.093174909457705,0.16606293750851708
22,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,xtb,xtb,0.2615002531840923,0.1809169041901877,0.9178167065290004,0.931345980126468,0.1070307060027792,0.15446954718131312
23,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,xtb,xtb,0.2618130445037476,0.1800831195709821,0.917619983239866,0.916914269544302,0.1170476705840546,0.144765373919693
24,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_soap_acsf,rdkit+geometry,0.2619756133217411,0.1748374215229336,0.9175176462467916,0.9122560703518684,0.0767230870862531,0.185252526235488
25,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_soap,rdkit+geometry,0.2695557265621101,0.1822014475757131,0.9126754333056676,0.907880845876732,0.104867015697048,0.1646887108650621
26,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_soap_xtb,all,0.2703810950014434,0.1820996488060128,0.912139846193592,0.9121472339221386,0.1062380493930863,0.16414304560835713
27,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,rdkit_xtb,rdkit+xtb,0.2704814102772626,0.1949737603510426,0.9120746393375418,0.9234009207561956,0.1446488284313034,0.1258325818459592
28,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,soap_xtb_acsf,xtb+geometry,0.2737368321943741,0.169613240325337,0.9099454234767574,0.9052470042772718,0.0757456764773427,0.1979911557170314
