rank,feature,source,mean_abs_shap
388,SOL_Chi1,rdkit,0.0
389,SOL_Chi1v,rdkit,0.0
390,REA_XTB4,xtb,0.0
391,REA_XTB5,xtb,0.0
392,REA_XTB6,xtb,0.0
393,REA_XTB7,xtb,0.0
394,REA_XTB8,xtb,0.0
395,CAT_ACSF38,acsf,0.0
396,CAT_NumAromaticRings,rdkit,0.0
397,REA_BertzCT,rdkit,0.0
398,REA_Chi0,rdkit,0.0
399,REA_Chi0n,rdkit,0.0
400,REA_Chi3v,rdkit,0.0
401,REA_Chi1,rdkit,0.0
402,REA_Chi1n,rdkit,0.0
403,REA_Chi1v,rdkit,0.0
404,REA_Chi2n,rdkit,0.0
405,SOL_NumValenceElectrons,rdkit,0.0
406,SOL_BCUT2D_CHGLO,rdkit,0.0
407,SOL_BCUT2D_LOGPHI,rdkit,0.0
408,SOL_BCUT2D_LOGPLOW,rdkit,0.0
409,SOL_XTB6,xtb,0.0
410,SOL_XTB9,xtb,0.0
411,SOL_XTB10,xtb,0.0
412,REA_BalabanJ,rdkit,0.0
413,CAT_NumSaturatedCarbocycles,rdkit,0.0
414,CAT_fr_Al_COO,rdkit,0.0
415,SOL_EState_VSA9,rdkit,0.0
416,CAT_EState_VSA11,rdkit,0.0
417,SOL_Chi3n,rdkit,0.0
418,SOL_Chi3v,rdkit,0.0
419,SOL_Chi4n,rdkit,0.0
420,SOL_Chi4v,rdkit,0.0
421,CAT_fr_allylic_oxid,rdkit,0.0
422,CAT_fr_benzene,rdkit,0.0
423,CAT_fr_bicyclic,rdkit,0.0
424,REA_XTB0,xtb,0.0
425,REA_XTB1,xtb,0.0
426,REA_XTB2,xtb,0.0
427,CAT_fr_C_O,rdkit,0.0
428,SOL_PEOE_VSA4,rdkit,0.0
429,SOL_PEOE_VSA6,rdkit,0.0
430,CAT_HeavyAtomCount,rdkit,0.0
431,CAT_NOCount,rdkit,0.0
432,REA_XTB9,xtb,0.0
433,REA_XTB10,xtb,0.0
434,REA_XTB11,xtb,0.0
435,REA_XTB12,xtb,0.0
436,REA_XTB13,xtb,0.0
437,REA_XTB14,xtb,0.0
438,REA_XTB15,xtb,0.0
439,REA_XTB16,xtb,0.0
440,REA_XTB17,xtb,0.0
441,REA_XTB18,xtb,0.0
442,CAT_fr_COO,rdkit,0.0
443,REA_XTB3,xtb,0.0
